comparison,model,dataset,reference_condition,condition,common_problem_count,reference_problem_mean,condition_problem_mean,problem_mean_difference,difference_interval_low,difference_interval_high,problems_better,problems_same,problems_worse,reference_file,condition_file
perturbation_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,baseline:perturb,rail_fence,30,0.8916666666666667,0.0,-0.8916666666666667,-0.975,-0.7854166666666667,0,2,28,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_baseline_s42_20260309_144556.json,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_rail_fence_s42_20260309_044638.json
perturbation_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,baseline:perturb,rectangle_perimeter,30,0.8916666666666667,0.04375,-0.8479166666666667,-0.9416666666666667,-0.7375,0,2,28,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_baseline_s42_20260309_144556.json,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_rectangle_perimeter_s42_20260317_212640.json
perturbation_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,baseline:perturb,sentence_reversal,30,0.8916666666666667,0.7958333333333333,-0.09583333333333334,-0.1875,-0.022916666666666665,2,20,8,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_baseline_s42_20260309_144556.json,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_sentence_reversal_s42_20260312_024111.json
perturbation_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,baseline:perturb,snake_horizontal,30,0.8916666666666667,0.16041666666666668,-0.73125,-0.8375,-0.6145833333333334,0,2,28,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_baseline_s42_20260309_144556.json,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_snake_horizontal_s42_20260313_032315.json
perturbation_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,baseline:perturb,snake_vertical,30,0.8916666666666667,0.008333333333333333,-0.8833333333333333,-0.9666666666666667,-0.7770833333333333,0,2,28,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_baseline_s42_20260309_144556.json,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_snake_vertical_s42_20260313_032315.json
perturbation_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,baseline:perturb,split_reversal,30,0.8916666666666667,0.3458333333333333,-0.5458333333333333,-0.6625,-0.42916666666666664,0,3,27,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_baseline_s42_20260309_144556.json,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_split_reversal_s42_20260309_044638.json
perturbation_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,baseline:perturb,word_reversal,30,0.8916666666666667,0.475,-0.4166666666666667,-0.54375,-0.2916666666666667,0,7,23,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_baseline_s42_20260309_144556.json,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_word_reversal_s42_20260309_044638.json
perturbation_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,baseline:perturb,wrappers,30,0.8916666666666667,0.6770833333333334,-0.21458333333333332,-0.3333333333333333,-0.11041666666666666,0,12,18,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_baseline_s42_20260309_144556.json,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_wrappers_s42_20260309_044638.json
compound_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,MathArena_aime_2025,baseline:compound,compound:d1,30,0.8666666666666667,0.7958333333333333,-0.07083333333333333,-0.11458333333333333,-0.03333333333333333,0,20,10,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_baseline_s42_20260330_151804.json,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_compound_s42_20260330_155901.json
compound_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,MathArena_aime_2025,baseline:compound,compound:d2,30,0.8666666666666667,0.7229166666666667,-0.14375,-0.22916666666666666,-0.07291666666666667,0,14,16,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_baseline_s42_20260330_151804.json,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_compound_s42_20260403_055159.json
compound_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,MathArena_aime_2025,baseline:compound,compound:d3,30,0.8666666666666667,0.6979166666666666,-0.16875,-0.24166666666666667,-0.10416666666666667,0,9,21,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_baseline_s42_20260330_151804.json,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_compound_s42_20260405_035834.json
passive_context_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,MathArena_aime_2025,baseline:compound,passive_context:repeat:d3,30,0.8666666666666667,0.7520833333333333,-0.11458333333333333,-0.17708333333333334,-0.058333333333333334,1,12,17,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_baseline_s42_20260330_151804.json,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_passive_context_d3_s42_20260805_081733.json
passive_context_vs_compound,Qwen_Qwen3-30B-A3B-Thinking-2507,MathArena_aime_2025,compound:d3,passive_context:repeat:d3,30,0.6979166666666666,0.7520833333333333,0.05416666666666667,0.0,0.10833333333333334,15,11,4,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_compound_s42_20260405_035834.json,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_passive_context_d3_s42_20260805_081733.json
perturbation_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,MathArena_aime_2025,baseline:perturb,interleaved_context_line,30,0.7979166666666667,0.6729166666666667,-0.125,-0.21041666666666667,-0.04791666666666667,2,14,14,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_baseline_s42_20260316_094435.json,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_interleaved_context_line_s42_20260413_020006.json
perturbation_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,MathArena_aime_2025,baseline:perturb,interleaved_context_symbol,30,0.7979166666666667,0.016666666666666666,-0.78125,-0.8895833333333333,-0.6520833333333333,0,2,28,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_baseline_s42_20260316_094435.json,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_interleaved_context_symbol_s42_20260413_020006.json
perturbation_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,MathArena_aime_2025,baseline:perturb,interleaved_context_word,30,0.7979166666666667,0.26458333333333334,-0.5333333333333333,-0.6604166666666667,-0.40208333333333335,0,5,25,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_baseline_s42_20260316_094435.json,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_interleaved_context_word_s42_20260413_020006.json
perturbation_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,MathArena_aime_2025,baseline:perturb,not_not,30,0.7979166666666667,0.7708333333333334,-0.027083333333333334,-0.11458333333333333,0.03958333333333333,7,17,6,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_baseline_s42_20260316_094435.json,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_not_not_s42_20260413_020006.json
perturbation_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,MathArena_aime_2025,baseline:perturb,opposites,30,0.7979166666666667,0.7104166666666667,-0.0875,-0.16458333333333333,-0.016666666666666666,4,10,16,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_baseline_s42_20260316_094435.json,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_opposites_s42_20260413_020006.json
perturbation_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,MathArena_aime_2025,baseline:perturb,rail_fence,30,0.7979166666666667,0.0,-0.7979166666666667,-0.90625,-0.66875,0,2,28,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_baseline_s42_20260316_094435.json,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_rail_fence_s42_20260413_020006.json
perturbation_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,MathArena_aime_2025,baseline:perturb,rectangle_perimeter,30,0.7979166666666667,0.11875,-0.6791666666666667,-0.8020833333333334,-0.5458333333333333,0,3,27,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_baseline_s42_20260316_094435.json,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_rectangle_perimeter_s42_20260413_020006.json
perturbation_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,MathArena_aime_2025,baseline:perturb,sentence_reversal,30,0.7979166666666667,0.76875,-0.029166666666666667,-0.07083333333333333,0.010416666666666666,4,18,8,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_baseline_s42_20260316_094435.json,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_sentence_reversal_s42_20260413_020006.json
perturbation_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,MathArena_aime_2025,baseline:perturb,snake_horizontal,30,0.7979166666666667,0.22291666666666668,-0.575,-0.7020833333333333,-0.44166666666666665,0,4,26,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_baseline_s42_20260316_094435.json,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_snake_horizontal_s42_20260413_020006.json
perturbation_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,MathArena_aime_2025,baseline:perturb,snake_vertical,30,0.7979166666666667,0.0375,-0.7604166666666666,-0.875,-0.6270833333333333,0,2,28,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_baseline_s42_20260316_094435.json,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_snake_vertical_s42_20260413_020006.json
perturbation_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,MathArena_aime_2025,baseline:perturb,split_reversal,30,0.7979166666666667,0.2,-0.5979166666666667,-0.7270833333333333,-0.46458333333333335,0,3,27,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_baseline_s42_20260316_094435.json,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_split_reversal_s42_20260413_020006.json
perturbation_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,MathArena_aime_2025,baseline:perturb,word_reversal,30,0.7979166666666667,0.28958333333333336,-0.5083333333333333,-0.6354166666666666,-0.37916666666666665,0,5,25,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_baseline_s42_20260316_094435.json,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_word_reversal_s42_20260413_020006.json
perturbation_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,MathArena_aime_2025,baseline:perturb,wrappers,30,0.7979166666666667,0.5708333333333333,-0.22708333333333333,-0.32916666666666666,-0.13541666666666666,1,9,20,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_baseline_s42_20260316_094435.json,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_wrappers_s42_20260413_020006.json
compound_vs_baseline,claude-opus-4-6,HuggingFaceH4_aime_2024,baseline:compound,compound:d3,30,0.9916666666666667,0.8541666666666666,-0.1375,-0.22916666666666666,-0.05416666666666667,1,19,10,claude-opus-4-6_HuggingFaceH4_aime_2024_baseline_20260322_204056.json,claude-opus-4-6_HuggingFaceH4_aime_2024_compound_20260322_235812.json
perturbation_vs_baseline,claude-opus-4-6,HuggingFaceH4_aime_2024,baseline:perturb,interleaved_context_line,30,0.9875,0.975,-0.0125,-0.041666666666666664,0.0125,2,25,3,claude-opus-4-6_HuggingFaceH4_aime_2024_baseline_20260312_142315.json,claude-opus-4-6_HuggingFaceH4_aime_2024_interleaved_context_line_20260309_000512.json
perturbation_vs_baseline,claude-opus-4-6,HuggingFaceH4_aime_2024,baseline:perturb,interleaved_context_symbol,30,0.9875,0.325,-0.6625,-0.8083333333333333,-0.5041666666666667,0,7,23,claude-opus-4-6_HuggingFaceH4_aime_2024_baseline_20260312_142315.json,claude-opus-4-6_HuggingFaceH4_aime_2024_interleaved_context_symbol_20260309_000512.json
perturbation_vs_baseline,claude-opus-4-6,HuggingFaceH4_aime_2024,baseline:perturb,interleaved_context_word,30,0.9875,0.9,-0.0875,-0.175,-0.020833333333333332,1,23,6,claude-opus-4-6_HuggingFaceH4_aime_2024_baseline_20260312_142315.json,claude-opus-4-6_HuggingFaceH4_aime_2024_interleaved_context_word_20260305_215825.json
perturbation_vs_baseline,claude-opus-4-6,HuggingFaceH4_aime_2024,baseline:perturb,not_not,30,0.9875,0.9666666666666667,-0.020833333333333332,-0.0625,0.004166666666666667,1,26,3,claude-opus-4-6_HuggingFaceH4_aime_2024_baseline_20260312_142315.json,claude-opus-4-6_HuggingFaceH4_aime_2024_not_not_20260311_184939.json
perturbation_vs_baseline,claude-opus-4-6,HuggingFaceH4_aime_2024,baseline:perturb,opposites,30,0.9875,0.9166666666666666,-0.07083333333333333,-0.15416666666666667,-0.008333333333333333,1,24,5,claude-opus-4-6_HuggingFaceH4_aime_2024_baseline_20260312_142315.json,claude-opus-4-6_HuggingFaceH4_aime_2024_opposites_20260309_000512.json
perturbation_vs_baseline,claude-opus-4-6,HuggingFaceH4_aime_2024,baseline:perturb,rail_fence,30,0.9875,0.016666666666666666,-0.9708333333333333,-0.9958333333333333,-0.9291666666666667,0,0,30,claude-opus-4-6_HuggingFaceH4_aime_2024_baseline_20260312_142315.json,claude-opus-4-6_HuggingFaceH4_aime_2024_rail_fence_20260305_215825.json
perturbation_vs_baseline,claude-opus-4-6,HuggingFaceH4_aime_2024,baseline:perturb,rectangle_perimeter,30,0.9875,0.075,-0.9125,-0.9833333333333333,-0.8166666666666667,0,1,29,claude-opus-4-6_HuggingFaceH4_aime_2024_baseline_20260312_142315.json,claude-opus-4-6_HuggingFaceH4_aime_2024_rectangle_perimeter_20260313_112241.json
perturbation_vs_baseline,claude-opus-4-6,HuggingFaceH4_aime_2024,baseline:perturb,sentence_reversal,30,0.9875,0.9583333333333334,-0.029166666666666667,-0.075,0.004166666666666667,1,26,3,claude-opus-4-6_HuggingFaceH4_aime_2024_baseline_20260312_142315.json,claude-opus-4-6_HuggingFaceH4_aime_2024_sentence_reversal_20260312_022325.json
perturbation_vs_baseline,claude-opus-4-6,HuggingFaceH4_aime_2024,baseline:perturb,snake_horizontal,30,0.9875,0.325,-0.6625,-0.8166666666666667,-0.5041666666666667,1,6,23,claude-opus-4-6_HuggingFaceH4_aime_2024_baseline_20260312_142315.json,claude-opus-4-6_HuggingFaceH4_aime_2024_snake_horizontal_20260313_112241.json
perturbation_vs_baseline,claude-opus-4-6,HuggingFaceH4_aime_2024,baseline:perturb,snake_vertical,30,0.9875,0.029166666666666667,-0.9583333333333334,-0.9916666666666667,-0.9041666666666667,0,0,30,claude-opus-4-6_HuggingFaceH4_aime_2024_baseline_20260312_142315.json,claude-opus-4-6_HuggingFaceH4_aime_2024_snake_vertical_20260313_112241.json
perturbation_vs_baseline,claude-opus-4-6,HuggingFaceH4_aime_2024,baseline:perturb,split_reversal,30,0.9875,0.03333333333333333,-0.9541666666666667,-0.9958333333333333,-0.8833333333333333,0,1,29,claude-opus-4-6_HuggingFaceH4_aime_2024_baseline_20260312_142315.json,claude-opus-4-6_HuggingFaceH4_aime_2024_split_reversal_20260305_215825.json
perturbation_vs_baseline,claude-opus-4-6,HuggingFaceH4_aime_2024,baseline:perturb,word_reversal,30,0.9875,0.5333333333333333,-0.45416666666666666,-0.625,-0.2916666666666667,0,13,17,claude-opus-4-6_HuggingFaceH4_aime_2024_baseline_20260312_142315.json,claude-opus-4-6_HuggingFaceH4_aime_2024_word_reversal_20260309_000512.json
perturbation_vs_baseline,claude-opus-4-6,HuggingFaceH4_aime_2024,baseline:perturb,wrappers,30,0.9875,0.9666666666666667,-0.020833333333333332,-0.05416666666666667,0.008333333333333333,2,24,4,claude-opus-4-6_HuggingFaceH4_aime_2024_baseline_20260312_142315.json,claude-opus-4-6_HuggingFaceH4_aime_2024_wrappers_20260309_000512.json
compound_vs_baseline,claude-opus-4-6,MathArena_aime_2025,baseline:compound,compound:d3,30,0.9809523809523809,0.7952380952380953,-0.1857142857142857,-0.30952380952380953,-0.08095238095238096,0,20,10,claude-opus-4-6_MathArena_aime_2025_baseline_20260501_112323.json,claude-opus-4-6_MathArena_aime_2025_compound_20260501_163256.json
perturbation_vs_baseline,claude-opus-4-6,MathArena_aime_2025,baseline:perturb,interleaved_context_line,30,0.9809523809523809,0.9833333333333333,0.00238095238095238,0.0,0.0059523809523809494,2,28,0,claude-opus-4-6_MathArena_aime_2025_baseline_20260501_112323.json,claude-opus-4-6_MathArena_aime_2025_interleaved_context_line_20260501_120528.json
perturbation_vs_baseline,claude-opus-4-6,MathArena_aime_2025,baseline:perturb,interleaved_context_symbol,30,0.9809523809523809,0.0,-0.9809523809523809,-1.0,-0.9523809523809524,0,0,30,claude-opus-4-6_MathArena_aime_2025_baseline_20260501_112323.json,claude-opus-4-6_MathArena_aime_2025_interleaved_context_symbol_20260501_120528.json
perturbation_vs_baseline,claude-opus-4-6,MathArena_aime_2025,baseline:perturb,interleaved_context_word,30,0.9809523809523809,0.7708333333333334,-0.21011904761904762,-0.32857142857142857,-0.10476190476190476,1,14,15,claude-opus-4-6_MathArena_aime_2025_baseline_20260501_112323.json,claude-opus-4-6_MathArena_aime_2025_interleaved_context_word_20260501_120528.json
perturbation_vs_baseline,claude-opus-4-6,MathArena_aime_2025,baseline:perturb,not_not,30,0.9809523809523809,0.975,-0.005952380952380954,-0.02261904761904762,0.011904761904761902,1,26,3,claude-opus-4-6_MathArena_aime_2025_baseline_20260501_112323.json,claude-opus-4-6_MathArena_aime_2025_not_not_20260501_120528.json
perturbation_vs_baseline,claude-opus-4-6,MathArena_aime_2025,baseline:perturb,opposites,30,0.9809523809523809,0.5625,-0.41845238095238096,-0.5946428571428571,-0.24642857142857144,1,16,13,claude-opus-4-6_MathArena_aime_2025_baseline_20260501_112323.json,claude-opus-4-6_MathArena_aime_2025_opposites_20260501_123735.json
perturbation_vs_baseline,claude-opus-4-6,MathArena_aime_2025,baseline:perturb,rail_fence,30,0.9809523809523809,0.0,-0.9809523809523809,-1.0,-0.9523809523809524,0,0,30,claude-opus-4-6_MathArena_aime_2025_baseline_20260501_112323.json,claude-opus-4-6_MathArena_aime_2025_rail_fence_20260501_123735.json
perturbation_vs_baseline,claude-opus-4-6,MathArena_aime_2025,baseline:perturb,rectangle_perimeter,30,0.9809523809523809,0.0,-0.9809523809523809,-1.0,-0.9523809523809524,0,0,30,claude-opus-4-6_MathArena_aime_2025_baseline_20260501_112323.json,claude-opus-4-6_MathArena_aime_2025_rectangle_perimeter_20260501_123735.json
perturbation_vs_baseline,claude-opus-4-6,MathArena_aime_2025,baseline:perturb,sentence_reversal,30,0.9809523809523809,0.9791666666666666,-0.0017857142857142867,-0.016071428571428573,0.013095238095238094,1,27,2,claude-opus-4-6_MathArena_aime_2025_baseline_20260501_112323.json,claude-opus-4-6_MathArena_aime_2025_sentence_reversal_20260501_123735.json
perturbation_vs_baseline,claude-opus-4-6,MathArena_aime_2025,baseline:perturb,snake_horizontal,30,0.9809523809523809,0.0,-0.9809523809523809,-1.0,-0.9523809523809524,0,0,30,claude-opus-4-6_MathArena_aime_2025_baseline_20260501_112323.json,claude-opus-4-6_MathArena_aime_2025_snake_horizontal_20260501_145916.json
perturbation_vs_baseline,claude-opus-4-6,MathArena_aime_2025,baseline:perturb,snake_vertical,30,0.9809523809523809,0.0125,-0.968452380952381,-0.9958333333333333,-0.9357142857142857,0,0,30,claude-opus-4-6_MathArena_aime_2025_baseline_20260501_112323.json,claude-opus-4-6_MathArena_aime_2025_snake_vertical_20260501_145916.json
perturbation_vs_baseline,claude-opus-4-6,MathArena_aime_2025,baseline:perturb,split_reversal,30,0.9809523809523809,0.0,-0.9809523809523809,-1.0,-0.9523809523809524,0,0,30,claude-opus-4-6_MathArena_aime_2025_baseline_20260501_112323.json,claude-opus-4-6_MathArena_aime_2025_split_reversal_20260501_145916.json
perturbation_vs_baseline,claude-opus-4-6,MathArena_aime_2025,baseline:perturb,word_reversal,30,0.9809523809523809,0.06666666666666667,-0.9142857142857143,-0.9904761904761905,-0.8142857142857143,0,2,28,claude-opus-4-6_MathArena_aime_2025_baseline_20260501_112323.json,claude-opus-4-6_MathArena_aime_2025_word_reversal_20260501_145916.json
perturbation_vs_baseline,claude-opus-4-6,MathArena_aime_2025,baseline:perturb,wrappers,30,0.9809523809523809,0.675,-0.305952380952381,-0.46845238095238095,-0.1517857142857143,1,17,12,claude-opus-4-6_MathArena_aime_2025_baseline_20260501_112323.json,claude-opus-4-6_MathArena_aime_2025_wrappers_20260501_145916.json
compound_vs_baseline,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,HuggingFaceH4_aime_2024,baseline:compound,compound:d1,30,0.6604166666666667,0.6416666666666667,-0.01875,-0.058333333333333334,0.020833333333333332,8,10,12,deepseek-ai_DeepSeek-R1-Distill-Llama-70B_HuggingFaceH4_aime_2024_baseline_s42_20260322_064543.json,deepseek-ai_DeepSeek-R1-Distill-Llama-70B_HuggingFaceH4_aime_2024_compound_s42_20260420_031412.json
compound_vs_baseline,deepseek-ai_DeepSeek-R1-Distill-Llama-70B,HuggingFaceH4_aime_2024,baseline:compound,compound:d2,30,0.6604166666666667,0.5833333333333334,-0.07708333333333334,-0.14166666666666666,-0.010416666666666666,4,8,18,deepseek-ai_DeepSeek-R1-Distill-Llama-70B_HuggingFaceH4_aime_2024_baseline_s42_20260322_064543.json,deepseek-ai_DeepSeek-R1-Distill-Llama-70B_HuggingFaceH4_aime_2024_compound_s42_20260421_044241.json
